trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
47,0,47,0,,,,,,,104.01473641999996,102.51331695099998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
48,0,48,0,,,,,,,105.99870339099994,104.21400363199996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
49,0,49,0,,,,,,,107.90155491799999,106.203502448,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
50,0,50,0,,,,,,,109.399875823,108.11808062399996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
51,0,51,0,,,,,,,110.8828358369999,109.59987529799992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
52,0,52,0,,,,,,,112.63540046699995,111.08279678899999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
53,0,53,0,,,,,,,114.58405178399994,112.83345152799996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
54,0,54,0,,,,,,,116.32269257799999,114.78480922999995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
55,0,55,0,,,,,,,118.17192034899995,116.53465428300001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
56,0,56,0,,,,,,,119.73596264699995,118.38800542599995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
57,0,57,0,,,,,,,121.58727132799993,119.93606823300001,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
58,0,58,0,,,,,,,123.53757315799999,121.786925645,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
59,0,59,0,,,,,,,124.95445787199992,123.740583303,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
60,0,60,0,,,,,,,126.42127807999998,125.15408295299994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
61,0,61,0,,,,,,,128.13885547899997,126.62322518899998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
62,0,62,0,,,,,,,129.956093206,128.3435529699999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
63,0,63,0,,,,,,,131.35803239899997,130.15605365299996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
64,0,64,0,,,,,,,133.15709256399998,131.556800586,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
65,0,65,0,,,,,,,134.809536375,133.357966574,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
66,0,66,0,,,,,,,136.24115005299996,135.02399182699992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
67,0,67,0,,,,,,,138.17533880899998,136.45154140499994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
68,0,68,0,,,,,,,139.79678827499993,138.376841485,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
69,0,69,0,,,,,,,141.34293078299993,139.99232194399997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
